Product Name,Generic Name,Reg Number,Manufacturer,DSL/DML,Category,Pack Size,Price (Rs),Effective From
"Snake Venom AntiSerum","Snake Venom AntiSerum",053882,"Hakimsons (Impex) (Pvt.) Ltd.","DSL: 030",Essential Drugs,"(1's pack)",3104.59,06 Aug, 2025
"Equirab 1000 IU/5 ml","Anti-Rabies Serum (Equine)",052223,"Hakimsons (Impex) (Pvt.) Ltd.","DSL: 030",Essential Drugs,"(1's pack)",2037.24,06 Aug, 2025
"Prevenar 13V Suspension for Injection","Pneumococcal Conjugate Vaccine 0.5ml",098499,"Wyeth Pakistan Limited","DSL: 036",Essential Drugs,"(1X50)Vial",1290266.38,13 Aug, 2025
"Oxaprin Injection 20mg","Enoxaparin Sodium 20mg/0.2ml",056859,"Werrick Pharmaceuticals","DML: 000340",Essential Drugs,"0.2mlx1's",260.25,18 Aug, 2025
"Oxaprin Injection 40mg","Enoxaparin Sodium 40mg/0.4ml",056860,"Werrick Pharmaceuticals","DML: 000340",Essential Drugs,"0.4mlx1's",815.56,18 Aug, 2025
"Rabies vaccine (vero cell) Human Use","Rabies vaccine (vero cell) Human Use",091880,"Biological Production Divison, National Institute of Health","DML: 000092",Essential Drugs,"0.5ml x 1's",1337,01 Jul, 2024
"VAXAPOX(Live Attenuated Varicella Vaccine, Lyophilized)","(Live Attenuated Varicella Vaccine, Lyophilized)Each dose of 0.5ml contains:OKA Strain …........... 3.3 Lg PFU of live Varicella Virus (min 2000 PFU).",074628,"SIND MEDICAL STORES","DSL: 450",Essential Drugs,"0.5 ml vial",4401.15,07 Aug, 2025
"INDIRAB(Purified Vero Cell Rabies Vaccine - PVRV)","Each dose of lyophilized vaccine contains:Purified & propiolactone inactivated Rabies Virus …..... 2.5 I.U.(Prepared on Vero Cells, PM Strain of rabies virus) of one immunizing dose.",053814,"HOSPITAL SERVICES & SALES","DSL: 0398",Essential Drugs,"0.5 ml vial",1397.31,07 Aug, 2025
"REVAC B+ 0.5ml(Recombinant Hepatitis B Vaccine)","(Recombinant Hepatitis B Vaccine)Each 0.5 ml contains:Hepatitis B Surface antigen 10µg",053861,"SIND MEDICAL STORES","DSL: 450",Essential Drugs,"0.5 ml Vial",314.9,07 Aug, 2025
"POLIOMYELITIS VACCINE(Poliomyelitis Vaccine, Inactivated, suspension for injection)","Poliomyelitis Vaccine, Inactivated, suspension for injection1 dose of 0.5ml inactivated Poliomyelitis vaccinecontains the following active ingredients:Poliomyelitis virus type 1 (Mahoney) 40-Dantigen unitsPoliomyelitis virus type 2 (MEF 1) 8-D antigen virusPoliomyelitis virus type 3 (Saukett) 32-D antigen units",077520,"HOSPITAL SERVICES & SALES","DSL: 0398",Essential Drugs,"0.5 ml Vial / 1 Dose",834.45,07 Aug, 2025
